Date,SPY,IWD,MTUM,QUAL,USMV,VIX
2016-07-31,184.9456787109375,85.29560089111328,69.82441711425781,58.67160415649414,39.1585693359375,11.869999885559082
2016-08-31,185.16709899902344,85.95000457763672,68.78306579589844,58.54221725463867,38.3902587890625,13.420000076293945
2016-09-30,185.1779022216797,85.75038146972656,69.12223815917969,58.48238754272461,38.14175796508789,13.289999961853027
2016-10-31,181.96742248535156,84.46760559082031,67.78215026855469,57.286582946777344,37.09229278564453,17.059999465942383
2016-11-30,188.67083740234375,89.23332214355469,67.38011169433594,59.01097869873047,37.318973541259766,13.329999923706055
2016-12-31,192.49557495117188,91.57662963867188,68.11809539794922,60.1883430480957,38.22687530517578,14.039999961853027
2017-01-31,195.94024658203125,92.13251495361328,70.26417541503906,60.885169982910156,38.70873260498047,11.989999771118164
2017-02-28,203.6390380859375,95.35315704345703,72.93108367919922,63.74215316772461,40.46706008911133,12.920000076293945
2017-03-31,203.89356994628906,94.43219757080078,74.42786407470703,63.71342468261719,40.5168342590332,12.369999885559082
2017-04-30,205.9174346923828,94.2514419555664,76.34601593017578,64.1072769165039,41.085697174072266,10.819999694824219
2017-05-31,208.82347106933594,94.09532928466797,79.98408508300781,65.06122589111328,41.90928268432617,10.40999984741211
2017-06-30,210.15476989746094,95.65635681152344,80.26029968261719,65.42872619628906,41.760711669921875,11.180000305175781
2017-07-31,214.47433471679688,96.88219451904297,83.05032348632812,66.09733581542969,42.60565185546875,10.260000228881836
2017-08-31,215.10009765625,95.71666717529297,84.26927185058594,66.40528106689453,42.92996597290039,10.59000015258789
2017-09-30,219.43423461914062,98.5156478881836,86.63627624511719,68.1661376953125,43.151771545410156,9.510000228881836
