min_train,n_states,model,sharpe,expected_utility,ann_return,ann_vol,cash_residual,nll_mean,pit_ks_p,run_id
96,2,hmm_gaussian,1.0197193981807713,0.0043325527285217,0.1031100132682041,0.1015846907906136,0.2346973678505645,-5.90552704818919,1.803920434192108e-05,20260923T163747Z
96,3,naive_1n,1.2890044935930889,0.0069132608632505,0.1765611134663427,0.1337481058271767,1.1102230246251563e-16,,,20260923T163755Z
96,3,cash,17.20052083640611,0.0035872903926589,0.0439364925042953,0.0025045083187435,1.0,,,20260923T163755Z
96,3,persistence,1.3170129296124924,0.0072079955916567,0.1874894973963372,0.1384866557141548,0.0,,,20260923T163755Z
96,3,rolling_avg,1.2852777111170737,0.0068221926511534,0.1852485221708399,0.1406160126784149,-2.220446049250313e-16,,,20260923T163755Z
96,3,momentum,1.2576943036357782,0.0065059184490429,0.1799542049027749,0.1400433694231269,-2.220446049250313e-16,,,20260923T163755Z
96,3,ridge,1.126085458682503,0.0048936112503199,0.0928325222856853,0.0820141411217275,0.5761021880540302,-11.405443247671966,0.000183982894296,20260923T163755Z
96,3,hmm_gaussian,1.0378759304945488,0.004467462428172,0.1146532699362639,0.1108554529367405,0.173469458902681,-4.792347741065059,1.2129771695206002e-06,20260923T163755Z
132,2,naive_1n,1.574703139726486,0.0096628399226778,0.1940244452762771,0.1173943365270789,-2.220446049250313e-16,,,20260923T163803Z
132,2,cash,28.52042116271713,0.0029735956576867,0.0362799067961256,0.0012514183408419,1.0,,,20260923T163803Z
132,2,persistence,1.3730636647619716,0.0078542472188085,0.1931282387459278,0.1356196685911784,0.0,,,20260923T163803Z
132,2,rolling_avg,1.4038169698881018,0.0082041761250577,0.2116595918637378,0.1445045781803416,0.0,,,20260923T163803Z
132,2,momentum,1.368418447525288,0.0077917056335757,0.2016685559338387,0.1419011880590744,0.0,,,20260923T163803Z
132,2,ridge,1.0498604339420614,0.0045242404934092,0.1239188838659666,0.1177880793021398,0.3637509374366638,-9.746845942368449,0.0299655250563466,20260923T163803Z
132,2,hmm_gaussian,1.1742939659383884,0.0057436064926115,0.1425215021814081,0.1196671638126223,0.1153873924589277,-5.880697074306429,0.0251474434782297,20260923T163803Z
132,3,naive_1n,1.57475053844848,0.0096632875489784,0.1940301587336264,0.117393855435998,-2.220446049250313e-16,,,20260923T163809Z
132,3,cash,28.522139533469083,0.0029736024067767,0.0362799896224608,0.0012513457544244,1.0,,,20260923T163809Z
132,3,persistence,1.373101191877904,0.0078546701821863,0.1931330182636936,0.1356188492158803,0.0,,,20260923T163809Z
132,3,rolling_avg,1.4038723100137454,0.0082048440093226,0.2116684689886641,0.1445041480346617,0.0,,,20260923T163809Z
132,3,momentum,1.3684781746580228,0.0077924141841901,0.201677788842125,0.1419006486619853,1.1102230246251563e-16,,,20260923T163809Z
132,3,ridge,1.0498490069080648,0.0045241289096116,0.1239173331281211,0.1177880249185299,0.3637513053956882,-9.746850400834582,0.0299659728218057,20260923T163809Z
132,3,hmm_gaussian,1.1308047638393934,0.0053188497360493,0.1344391095051953,0.1177660684170012,0.1153933862680647,-4.698439192561144,0.0891625254674874,20260923T163809Z
