,Regime_1,Regime_2,Regime_3,Regime_4,dominant_regime,dominant_prob
2018-12-31,0.09715894646394832,0.22903901206953195,0.2365896300802448,0.4372124113862749,4,0.4372124113862749
2019-01-31,0.07131735947479732,0.4284506801262061,0.28431388641901334,0.21591807397998322,2,0.4284506801262061
2019-02-28,0.09961953866874218,0.1287533077664063,0.2582746018255198,0.5133525517393317,4,0.5133525517393317
2019-03-31,0.10891963641535118,0.22049013747346968,0.3990490137614535,0.27154121234972556,3,0.3990490137614535
2019-04-30,0.3007083425425677,0.12957534199099127,0.2227534881329992,0.3469628273334419,4,0.3469628273334419
2019-05-31,0.1965462879078008,0.18027674553610357,0.305940558564272,0.31723640799182357,4,0.31723640799182357
2019-06-30,0.39210581856001897,0.23479360777071143,0.1997232231187075,0.1733773505505622,1,0.39210581856001897
2019-07-31,0.1477106704877329,0.17128849022174136,0.13984746595990752,0.5411533733306182,4,0.5411533733306182
2019-08-31,0.11988855797473406,0.23910706895080122,0.49572726099765413,0.14527711207681043,3,0.49572726099765413
2019-09-30,0.35975656555518787,0.12232752919090123,0.206365002123369,0.31155090313054196,1,0.35975656555518787
2019-10-31,0.28168848490711823,0.1001675110859493,0.47175281141370096,0.14639119259323163,3,0.47175281141370096
2019-11-30,0.35937821424842253,0.252629129910912,0.1996293028283008,0.1883633530123648,1,0.35937821424842253
2019-12-31,0.33297609968225406,0.16523197868356995,0.25501496693599085,0.24677695469818509,1,0.33297609968225406
2020-01-31,0.22485418023241463,0.34227899937693645,0.2492593936221567,0.18360742676849215,2,0.34227899937693645
2020-02-29,0.274328656352855,0.27935797003754315,0.23712019487943437,0.2091931787301675,2,0.27935797003754315
2020-03-31,0.5441192913040357,0.17942383892544342,0.18632069853808664,0.09013617123243416,1,0.5441192913040357
2020-04-30,0.6778077906098668,0.1398513698489128,0.09900275389642638,0.08333808564479411,1,0.6778077906098668
2020-05-31,0.08161343356092547,0.08544672100954043,0.7739705515626638,0.05896929386687025,3,0.7739705515626638
2020-06-30,0.4168160912610741,0.49475111971272123,0.03917734541354522,0.04925544361265936,2,0.49475111971272123
2020-07-31,0.10443951652174077,0.8737481539852222,0.00043923900943359644,0.02137309048360348,2,0.8737481539852222
2020-08-31,0.7635277446435963,0.0734054106368561,0.006850457934524446,0.156216386785023,1,0.7635277446435963
2020-09-30,0.6436880063347707,0.1913081275216389,0.029377070710011798,0.13562679543357853,1,0.6436880063347707
2020-10-31,0.8767702865109777,0.061315860683982114,0.014424039939179784,0.047489812865860265,1,0.8767702865109777
2020-11-30,0.9298918409372822,0.012492615963743299,0.00235832688178172,0.05525721621719295,1,0.9298918409372822
2020-12-31,0.9508531660605559,0.008055999667505705,0.008959421068591855,0.03213141320334659,1,0.9508531660605559
2021-01-31,0.8537415855442229,0.03435378303590889,0.022623746710563598,0.08928088470930458,1,0.8537415855442229
2021-02-28,0.9416277297913238,0.010272471758272146,0.008265220615483624,0.03983457783492028,1,0.9416277297913238
2021-03-31,0.8154610202828784,0.039841368023766276,0.007835053300304227,0.13686255839305111,1,0.8154610202828784
2021-04-30,0.6760896207889019,0.1394044737418005,0.011481125976773006,0.17302477949252448,1,0.6760896207889019
2021-05-31,0.35760046202701795,0.2417727314493208,0.006349953869603536,0.3942768526540578,4,0.3942768526540578
2021-06-30,0.5015442480357919,0.15720509571479876,0.015125929032018502,0.32612472721739094,1,0.5015442480357919
2021-07-31,0.25280154237852576,0.15671975740421784,0.04401073088148955,0.5464679693357668,4,0.5464679693357668
2021-08-31,0.26005018385670314,0.2041365138820604,0.08747830449534574,0.44833499776589064,4,0.44833499776589064
2021-09-30,0.5388924378567941,0.05212100015111208,0.09371843644400145,0.3152681255480925,1,0.5388924378567941
2021-10-31,0.40864783587292597,0.1022237172971759,0.2994843489262383,0.18964409790365985,1,0.40864783587292597
2021-11-30,0.10038832809053272,0.33983869175018544,0.44677608037381816,0.11299689978546382,3,0.44677608037381816
2021-12-31,0.2279237543163619,0.2795744725306685,0.43080710953348184,0.06169466361948769,3,0.43080710953348184
2022-01-31,0.12211223730261703,0.07406537812026186,0.62253774081187,0.18128464376525114,3,0.62253774081187
2022-02-28,0.06436706863796116,0.10197772789984214,0.728898349292817,0.10475685416937967,3,0.728898349292817
2022-03-31,0.06341335616609498,0.08364059716641854,0.781011415196373,0.07193463147111334,3,0.781011415196373
2022-04-30,0.001944185497349722,0.02835578901312244,0.9555736464589147,0.014126379030612899,3,0.9555736464589147
2022-05-31,0.013946956206057997,0.10091694980367337,0.862859920638606,0.022276173351662713,3,0.862859920638606
2022-06-30,0.011603274900809826,0.050003210945747535,0.9091251606805789,0.02926835347286375,3,0.9091251606805789
2022-07-31,0.004273476815520227,0.1067037530973677,0.8731962387368019,0.015826531350310095,3,0.8731962387368019
2022-08-31,0.010093853290968792,0.03832823897183809,0.6254513985418764,0.3261265091953168,3,0.6254513985418764
2022-09-30,0.013375928005137129,0.07113591797118346,0.8907496374157418,0.02473851660793778,3,0.8907496374157418
2022-10-31,0.04363490987684502,0.1291261797134046,0.7937555611997038,0.03348334921004655,3,0.7937555611997038
2022-11-30,0.00795911991245629,0.13662457141889756,0.8172032188876164,0.03821308978102979,3,0.8172032188876164
2022-12-31,0.004420051870981679,0.1442894862930937,0.8271088592405971,0.024181602595327527,3,0.8271088592405971
2023-01-31,0.035568886602385975,0.17468411504251755,0.5722435268892894,0.21750347146580715,3,0.5722435268892894
2023-02-28,0.050244960532144736,0.11686383611537934,0.6262373142660614,0.20665388908641436,3,0.6262373142660614
2023-03-31,0.018997131323322626,0.1806526481800714,0.7593195427233701,0.04103067777323588,3,0.7593195427233701
2023-04-30,0.05713304585550374,0.14032219032914606,0.5194605300954458,0.2830842337199043,3,0.5194605300954458
2023-05-31,0.01855653165401348,0.2911973331440347,0.5913700275464536,0.09887610765549837,3,0.5913700275464536
2023-06-30,0.022770633470146438,0.34918119684001986,0.44404930974220747,0.18399885994762616,3,0.44404930974220747
2023-07-31,0.015567173878757973,0.12202803828682973,0.7993524028629119,0.06305238497150051,3,0.7993524028629119
2023-08-31,0.068305127314528,0.20892748179308743,0.6503680983660712,0.07239929252631347,3,0.6503680983660712
2023-09-30,0.046468068509243364,0.28892659096756057,0.4073941098400892,0.2572112306831068,3,0.4073941098400892
2023-10-31,0.052282824171793134,0.16494864491025643,0.7637345226498838,0.019034008268066643,3,0.7637345226498838
2023-11-30,0.07451651882624086,0.3031207445700376,0.5957303276674222,0.026632408936299375,3,0.5957303276674222
2023-12-31,0.11716929581962257,0.13764593342330977,0.5798424048135016,0.16534236594356624,3,0.5798424048135016
2024-01-31,0.06985021727879617,0.44888229607792735,0.40652435368897033,0.07474313295430594,2,0.44888229607792735
2024-02-29,0.2133121109913858,0.15347031054515994,0.5631411284989677,0.07007644996448663,3,0.5631411284989677
2024-03-31,0.11718794197804995,0.3600387519827774,0.35599861288808476,0.1667746931510879,2,0.3600387519827774
2024-04-30,0.17275816529974367,0.30992357710096097,0.42327952628572935,0.09403873131356617,3,0.42327952628572935
2024-05-31,0.20487812306628037,0.26681676585545344,0.39819184228131355,0.13011326879695256,3,0.39819184228131355
2024-06-30,0.05950016219777151,0.46790205612813657,0.2914622086571166,0.18113557301697547,2,0.46790205612813657
2024-07-31,0.10462462544042354,0.3851456325295636,0.40276794034633856,0.10746180168367436,3,0.40276794034633856
2024-08-31,0.17904768927996612,0.12825268846228977,0.6062625587174143,0.08643706354032991,3,0.6062625587174143
2024-09-30,0.20597958463351826,0.15278056244450466,0.501406074270848,0.1398337786511291,3,0.501406074270848
2024-10-31,0.28615539292976505,0.1789683111589543,0.3445815114149607,0.19029478449631992,3,0.3445815114149607
2024-11-30,0.15084564084758406,0.47137449867082115,0.2869590544229341,0.0908208060586607,2,0.47137449867082115
2024-12-31,0.11075365226576485,0.369346764156359,0.3134433698252816,0.20645621375259451,2,0.369346764156359
2025-01-31,0.22359280002010154,0.575212838652367,0.15071039540468756,0.0504839659228439,2,0.575212838652367
2025-02-28,0.16414364454548988,0.4725397532243072,0.26432947198556034,0.09898713024464258,2,0.4725397532243072
2025-03-31,0.10160243895573633,0.4460590494043325,0.30430189243306527,0.14803661920686575,2,0.4460590494043325
2025-04-30,0.3543591074113897,0.18774381525841957,0.3243578081595828,0.13353926917060793,1,0.3543591074113897
2025-05-31,0.13660426733054243,0.5171352389468991,0.22582264675623281,0.1204378469663256,2,0.5171352389468991
2025-06-30,0.2856100530394517,0.32613420854427044,0.22568313034264198,0.1625726080736359,2,0.32613420854427044
2025-07-31,0.17972698619033137,0.2878240218166514,0.33812550403113195,0.19432348796188534,3,0.33812550403113195
2025-08-31,0.19173036936984492,0.3288324195534775,0.22193239528787,0.2575048157888075,2,0.3288324195534775
2025-09-30,0.25071243232815904,0.3520230379598943,0.137343661685052,0.2599208680268948,2,0.3520230379598943
2025-10-31,0.25568720778897636,0.2745682828036488,0.2180588568633987,0.2516856525439762,2,0.2745682828036488
2025-11-30,0.2030381717140658,0.25623804276786033,0.25090025806801586,0.28982352745005807,4,0.28982352745005807
2025-12-31,0.3760802275286082,0.3138635794176429,0.15961907095318714,0.1504371221005618,1,0.3760802275286082
2026-01-31,0.26527253314367805,0.2501518495951528,0.3457506024961277,0.1388250147650415,3,0.3457506024961277
2026-02-28,0.50733743108045,0.1207508531758611,0.3091317348753464,0.06277998086834244,1,0.50733743108045
2026-03-31,0.3573966229675646,0.19528552787865877,0.28535602412874955,0.16196182502502715,1,0.3573966229675646
2026-04-30,0.30261702974598853,0.22816363416669946,0.37435058077092537,0.09486875531638665,3,0.37435058077092537
2026-05-31,0.13408550284317183,0.39188196439114875,0.3337681447521896,0.14026438801348992,2,0.39188196439114875
2026-06-30,0.1456499048054251,0.3666763982246226,0.38212736045689194,0.10554633651306038,3,0.38212736045689194
